Black,breaks Hogwarts twice,unharmed
Black,later breaks,unharmed
Black,breaks twice,unharmed
Black,later breaks twice,though unharmed
Black,later breaks twice,Hogwarts
Black,breaks Hogwarts,unharmed
Black,later breaks,Hogwarts
Ron,accuses,Hermione 's cat
Ron,accuses,Crookshanks
Ron,accuses,straining friendship
Ron,accuses,friendship
Ron,accuses,friendship
Ron,Meanwhile accuses,friendship
Ron,Meanwhile accuses,Crookshanks
Ron,Meanwhile accuses,Hermione 's cat killing
Ron,Meanwhile accuses,Crookshanks
Ron,Meanwhile accuses,friendship
Hermione,have,cat killing
Ron,accuses,Crookshanks
Ron,Meanwhile accuses,straining friendship
Ron,accuses,straining friendship
Hermione,'s cat be,Crookshanks
Ron,accuses,Hermione 's cat killing
Hermione,'s cat be,straining friendship
Ron,Meanwhile accuses,straining friendship
Ron,Meanwhile accuses,Hermione 's cat
Harry,receives,Firebolt broomstick anonymous gift
fearing Black,sent,Firebolt broomstick
fearing Black,sent,expensive Firebolt broomstick
Harry,receives,Hermione
Harry,receives,Firebolt broomstick gift
Black,sent,Firebolt broomstick
Black,sent,expensive Firebolt broomstick
Harry,receives,expensive Firebolt broomstick gift
Harry,receives,Hermione
Harry,receives,expensive Firebolt broomstick anonymous gift
Ron Harry,be,Hermione
Ron Harry,be,furious Hermione
Ministry Magic,have order,Hagrid 's hippogriff Buckbeak
Hagrid,have,hippogriff Buckbeak
Ministry Magic,Meanwhile have order,Hagrid 's hippogriff Buckbeak
Hagrid 's hippogriff Buckbeak,be,executed
Hermione visit,Hagrid prior,Buckbeak 's execution seemingly hear
Hermione exit Hagrid,have,hut
Buckbeak,have,execution Ron
Buckbeak,prior,execution seemingly hear
Buckbeak,'s Ron be,hut
Hermione,discovers,Scabbers
Ron,give,chase
Scabbers,escapes,Ron
dog,drags,Ron tunnel
dog,appear,drags
black dog,appear,drags
black dog,drags,Ron tunnel
Harry,haunt,Shrieking Shack
dog,reveals,Sirius Black
dog,reveals,animagus
dog,be,Sirius Black
dog,reveals,unregistered animagus
black dog,be,Sirius Black
Pettigrew 's name,realise,betrayed Potters
Pettigrew,have,name
Marauder,have,Map
Pettigrew 's name,realise,Black
Pettigrew 's name,realise,Potters
Pettigrew 's name,realise,Lupin
students,create,Marauder 's Map
Marauder,have,Map
Harry,have,father
latter three,become,tame Lupin Lupin werewolf transformations
latter three,secretly become,Lupin Lupin werewolf transformations
latter three,become,Animagi tame Lupin Lupin werewolf transformations
latter three,become,Animagi Lupin Lupin werewolf transformations
latter three,secretly become,Animagi Lupin Lupin werewolf transformations
latter three,become,Lupin Lupin werewolf transformations
latter three,secretly become,tame Lupin Lupin werewolf transformations
latter three,secretly become,Animagi tame Lupin Lupin werewolf transformations
Scabbers,be,Pettigrew Pettigrew rat form
Voldemort,'s servant be,framing Black
Voldemort 's servant,fake,Pettigrew death
Pettigrew,be,Voldemort 's servant faked
Pettigrew,be,Voldemort 's servant
Voldemort,have,servant faked
Black,escape,Azkaban Pettigrew
Black escaped,be,alive
Black,escape,Azkaban discovering Pettigrew
Severus Snape rooted grudge Black James Potter Severus Snape Black James Potter,bullying,Severus Snape school
Severus Snape grudge Black James Potter,have bias,Severus Snape Black James Potter
Severus Snape rooted grudge Black James Potter,bullying,Severus Snape school
Severus Snape grudge Black James Potter Severus Snape Black James Potter,bullying,Severus Snape school
Severus Snape rooted grudge Black James Potter,have bias,Severus Snape Black James Potter
Severus Snape grudge Black James Potter,bullying,Severus Snape school
Lupin Black,be execute,Pettigrew
Severus Snape,sent,Azkaban
Lupin Black,be execute,Harry
moon rises,transforms,werewolf
Lupin,transforms,werewolf
full moon rises,transforms,werewolf
Severus Snape,have forget,Severus Snape Wolfsbane potion
werewolf,allows remain,transformations
werewolf,allows remain,sane transformations
Black,fights,Severus Snape
dementors,descend upon,Black
dementors,descend upon,Harry
distant figure,casts,powerful Patronus
distant figure,casts,scattering dementors
figure,casts,Patronus
figure,casts,scattering dementors
figure,casts,powerful Patronus
distant figure,casts,Patronus
distant figure,casts,dementors
figure,casts,dementors
Black,have,soul
Black,be capture,dementors
readied suck,capture,Black 's soul
Black,be,captured
suck,capture,Black 's soul
time Hermione,attend,classes
Dumbledore,instructs Harry Hermione,save Black Buckbeak going back
time Hermione,attend,multiple classes
Dumbledore,instructs,Black Buckbeak going back
Dumbledore,instructs,Black Buckbeak going
time Hermione,attend simultaneously,multiple classes
Dumbledore,instructs Harry Hermione,save Black Buckbeak going
Dumbledore,instructs Harry Hermione,Black Buckbeak going back
Dumbledore,instructs Harry Hermione,Black Buckbeak going
time Hermione,attend simultaneously,classes
Dumbledore,instructs,save Black Buckbeak going
Dumbledore,instructs,save Black Buckbeak going back
Dumbledore,instructs,Harry Hermione
